1	-14	9	-3	2	3	4	4	0	95.47
2	-48	-9	-47	-24	-2	0	-3	-15	102.21
3	15	-4	11	-8	-5	-6	-12	-2	104.89
4	-34	-42	10	20	-3	-5	-12	-11	104.89
5	2	30	-21	-11	-5	-7	0	-7	106.5
6	-1	-1	0	-14	4	8	3	2	113.21
7	-2	-11	-4	-2	-10	-16	-12	-15	114.13
8	-16	10	-23	-13	-8	-7	3	-2	114.13
9	6	10	-4	-39	-3	-11	-3	-1	117.71
10	10	14	16	12	-2	-1	-4	0	122.18
11	-5	-11	-24	-12	1	6	7	7	127.2
12	5	1	-5	-30	4	7	2	3	127.2
13	11	8	9	9	15	19	12	9	130.4
14	48	8	116	86	23	21	10	28	132.91
15	31	31	21	-42	-12	-18	-15	-3	134.68
16	-33	-128	-49	8	-16	-13	-8	-18	134.68
17	-26	-34	-34	-10	-6	-1	4	-8	130.4
18	-25	-17	-12	-8	-4	-8	-11	-19	131.14
19	39	-56	49	44	19	15	12	30	131.44
20	1	-18	53	30	7	3	2	12	131.46
21	48	127	-9	-13	-8	-6	-7	-9	131.46
22	50	65	9	18	7	6	3	10	131.45
23	-14	-52	-1	-26	-12	-11	-11	-14	131.12
24	46	17	-42	-11	-4	-1	4	-5	128.82
25	-25	8	-22	-17	12	18	14	11	128.82
26	-18	53	-8	-2	-2	5	-1	-7	125.99
27	-48	-20	-76	-61	-15	-24	-15	-21	116.64
28	-15	-5	-1	-19	-13	-13	-10	-10	116.64
29	-12	52	-62	-40	17	26	22	-2	111.23
30	7	-26	104	103	13	11	1	15	110.1
31	76	99	62	42	8	9	6	20	105.48
32	26	44	-40	-33	2	14	12	1	97.07
33	-17	-57	-28	-19	-3	-3	3	-3	97.07
34	-32	46	11	22	4	4	1	-6	91.28
35	-34	-29	-99	-89	-8	-4	3	-11	78.21
36	-18	-25	0	-7	-2	-1	3	4	77.96
37	55	110	127	127	22	9	4	25	77.96
38	5	67	-79	-124	-6	3	3	-14	69.57
39	21	-47	57	70	8	-1	-6	6	65.4
40	31	-28	-49	-98	-18	-17	-16	-9	63.67
41	-54	-4	99	78	4	-2	1	23	59.72
42	102	89	71	96	-4	-13	-17	-2	59.72
43	-112	-94	-69	-59	6	16	19	5	56.29
44	-119	-24	-128	-128	-35	-24	-12	-44	50.03
45	49	50	-11	-11	-14	-26	-28	-16	47.88
46	93	106	-78	-56	-2	5	7	18	48.12
47	17	12	38	29	30	20	12	25	48.12
48	-38	34	-15	32	-2	-1	6	-23	42.98
49	-40	-10	-64	-69	10	23	12	4	41.2
50	-10	16	13	17	0	-5	-8	-5	41.2
51	84	84	66	118	21	3	0	11	39.91
52	-28	-17	3	16	3	6	3	-9	38.7
53	-37	-12	0	-4	1	3	0	-11	37.91
54	6	-2	9	-14	-7	-4	-1	8	37.91
55	-39	-48	30	7	5	-1	-2	-7	37.61
56	-23	-17	-3	-29	-3	3	2	-7	37.65
57	-4	-16	-14	-15	2	2	4	-2	38.09
58	-9	2	-12	1	1	4	5	-1	38.09
59	-23	-24	-26	-36	-13	-11	-9	-12	44.47
60	-103	-110	6	38	7	6	0	-11	44.06
61	6	-9	4	16	0	0	-4	-4	44.06
62	-1	7	-16	-17	-7	-5	-3	-2	43.59
63	37	19	70	107	21	14	10	17	44.45
64	39	68	-24	-31	-7	-5	-4	-10	45.26
65	-6	-6	-17	-22	-2	3	8	8	45.26
66	-31	-21	-8	-13	-2	1	5	0	50.05
67	-79	-38	17	20	10	14	10	-3	53.08
68	7	-34	-10	1	2	3	1	-5	58.84
69	-8	7	-10	-20	10	17	15	6	60.63
70	27	-33	-11	-4	-6	-9	-13	-12	60.63
71	-8	-96	1	3	2	8	2	-3	64.56
72	-16	23	-2	-9	3	7	8	-5	68.25
73	5	6	11	1	-2	0	15	14	68.25
74	-6	-17	-14	-18	2	-5	0	7	73.41
75	16	-21	-6	2	0	-4	-7	17	76.47
76	17	32	-11	-7	-3	-3	-4	-12	77.65
77	-12	-4	24	30	-3	-7	-3	-2	77.65
78	24	28	63	52	6	2	-4	3	86.85
79	-9	-20	2	-2	1	1	9	12	87.08
80	-26	-17	-4	-10	-1	-1	0	7	87.08
