0.668	0.716	0.739	0.758	0.765	0.764	0.788	0.792	0.665	0.742	0.682	0.469	0.592	0.787	0.828	0.644
0.775	0.797	0.853	0.807	0.868	1	0.857	0.604	0.647	0.717	0.649	0.747	0.761	0.697	0.695	0.684
0.332	0.355	0.416	0.599	0.642	0.635	0.683	0.564	0.482	0.593	0.639	0.638	0.566	0.449	0.468	0.511
0.298	0.381	0.441	0.489	0.483	0.502	0.562	0.512	0.497	0.518	0.588	0.586	0.513	0.534	0.46	0.516
0.151	0.171	0.181	0.145	0.119	0.135	0.186	0.224	0.198	0.18	0.186	0.141	0.115	0.146	0.147	0.133
0.146	0.181	0.193	0.192	0.154	0.125	0.136	0.211	0.234	0.197	0.205	0.253	0.233	0.121	0.18	0.222
0.085	0.11	0.288	0.364	0.275	0.246	0.224	0.218	0.292	0.232	0.169	0.171	0.152	0.159	0.291	0.326
0.288	0.371	0.329	0.247	0.206	0.171	0.168	0.226	0.265	0.261	0.272	0.252	0.383	0.417	0.392	0.362
0.638	0.561	0.512	0.564	0.645	0.691	0.715	0.759	0.834	0.91	0.957	0.987	1	0.995	0.973	0.904
