0.618	0.509	0.527	0.598	0.83	0.836	0.849	0.827	0.749	0.887	0.889	0.871	0.965	1	0.857	0.738
0.762	0.681	0.641	0.694	0.801	0.794	0.654	0.688	0.742	0.823	0.809	0.826	0.867	0.817	0.782	0.776
0.431	0.454	0.459	0.54	0.476	0.538	0.505	0.443	0.514	0.424	0.667	0.854	0.744	0.512	0.399	0.339
0.328	0.363	0.274	0.318	0.398	0.49	0.509	0.37	0.414	0.533	0.425	0.398	0.455	0.645	0.688	0.649
0.11	0.07	0.031	0.04	0.06	0.072	0.075	0.074	0.062	0.056	0.054	0.047	0.049	0.069	0.077	0.076
0.153	0.139	0.161	0.198	0.177	0.145	0.179	0.171	0.157	0.143	0.133	0.151	0.138	0.198	0.214	0.185
0.062	0.103	0.127	0.125	0.155	0.142	0.119	0.112	0.087	0.127	0.115	0.061	0.061	0.092	0.111	0.112
0.082	0.106	0.107	0.092	0.143	0.191	0.156	0.141	0.223	0.2	0.12	0.125	0.17	0.161	0.109	0.106
0.496	0.479	0.469	0.534	0.648	0.721	0.855	0.979	1	0.99	0.916	0.835	0.769	0.677	0.611	0.57
