1	-13	31	39	-4	-3	-5	-9	-19	106.44
2	-21	-74	5	-7	-11	-7	-20	-9	96.88
3	-51	-51	-34	48	13	5	12	12	96.56
4	-19	-39	-28	36	15	-1	4	11	96.56
5	-53	-37	-16	45	9	-6	-2	0	96.63
6	95	127	-2	14	6	0	18	12	96.69
7	-37	-55	-48	22	32	20	-7	-5	97.02
8	61	49	-45	6	-6	-13	-48	-15	97.02
9	-113	-70	23	-25	2	10	11	-9	97.04
10	-11	43	-47	-121	-36	-25	0	-25	94.28
11	2	-62	66	3	-12	-9	-10	7	92.16
12	43	-43	-15	99	5	-22	25	30	92.16
13	-88	-128	3	-90	-12	1	-18	-21	89.11
14	127	127	13	10	-7	-4	1	-2	87.11
15	18	109	-22	-53	-5	5	-4	-21	87.11
16	16	-15	-64	19	42	46	48	39	85.15
17	-126	-76	-10	-51	-7	4	-21	-44	84.01
18	73	127	36	-30	-19	-19	-8	-16	84.01
19	-53	1	-71	-17	-9	-6	-5	-2	85.2
20	-89	-120	-87	-35	-17	0	-7	-13	87.5
21	-5	-26	19	77	23	7	8	13	90.56
22	113	95	112	75	28	8	7	26	90.56
23	20	73	-22	-1	4	9	-12	-12	87
24	38	54	-11	-12	7	12	19	6	70.09
25	44	-2	-67	-64	-26	-6	3	0	70.09
26	27	113	59	-102	-10	3	3	-14	67.41
27	16	14	-52	-54	-7	15	4	-9	62.03
28	78	125	127	126	54	10	1	20	62.03
29	51	114	-45	-86	-36	-29	-17	-14	60.84
30	-15	26	-75	-78	-28	6	6	-1	59.99
31	9	-128	15	127	34	-15	-17	10	59.99
32	-34	-25	-85	-128	-31	4	9	-8	58.31
33	-41	-49	85	4	21	4	7	-29	56.97
34	-14	-31	-8	32	22	-3	0	7	56.97
35	122	93	43	-39	-12	9	1	5	56
36	93	47	51	-63	19	15	18	25	53.01
37	-112	-121	-70	-90	-46	-21	-15	-24	53.01
38	110	-46	-67	-34	-16	-1	3	2	48.81
39	-60	77	-83	-9	5	13	7	-6	47.35
40	127	127	39	-76	-29	-8	2	0	47.35
41	-118	-103	-29	-90	-31	4	-3	-31	39.95
42	-70	-97	-128	56	20	3	-3	3	39.3
43	127	75	-3	-80	-42	-18	-15	-1	39.3
44	-3	86	-99	-25	5	3	8	-4	40.31
45	69	-126	114	127	43	8	0	14	40.57
46	-69	-75	-12	106	29	-1	-5	-1	42.94
47	39	45	-39	-98	-33	-5	-7	0	42.94
48	-82	-95	-61	-24	-16	-11	-23	-81	44.21
49	-13	-36	40	9	-6	-3	-2	11	46.99
50	-82	-57	-89	-34	-9	-8	-10	-5	46.99
51	65	89	26	-21	-5	8	22	-19	49.12
52	-15	-52	-22	12	10	8	-15	-18	51.02
53	-128	-128	-128	22	8	-2	-3	-34	51.02
54	13	100	29	10	14	10	8	-8	52.13
55	-61	-81	-120	-113	-25	1	-10	-55	53.6
56	-28	-5	-36	12	-19	-23	-14	-6	53.6
57	-40	-59	33	81	27	4	11	13	55.2
58	-36	42	44	21	3	-1	16	18	56.83
59	25	-21	-46	21	16	23	7	0	58.06
60	-128	-128	-60	41	6	-7	-15	-13	58.06
61	119	96	86	2	10	5	11	8	58.99
62	-128	-125	-97	-1	0	-1	1	-15	60.59
63	8	-49	-13	6	8	1	-2	19	60.59
64	127	127	127	-31	-19	-18	-8	2	62.38
65	22	0	19	11	2	3	8	1	64.88
66	-99	-112	-106	-26	-5	4	10	-6	66.97
67	-15	45	-3	25	19	8	8	11	66.97
68	-75	-95	-84	-63	-28	-8	-8	-28	68.85
69	-22	-91	-42	45	3	-8	-30	-4	73.46
70	-126	-22	41	-61	-21	-11	-3	-12	73.46
71	30	107	-6	-6	-9	-12	12	14	76.35
72	-13	-60	-22	48	17	10	0	10	78.14
73	-39	-111	-102	-12	-8	-4	-15	-23	78.14
74	-41	-63	-21	73	39	12	13	22	78.73
75	-47	-107	-37	-15	-19	-20	-22	-8	80.04
76	0	48	21	-17	-3	3	1	-5	80.04
77	-102	-115	-55	32	20	6	10	18	82.02
78	127	127	45	82	21	1	8	10	83.66
79	-19	-28	5	-32	-2	8	-3	-1	83.66
80	-13	-101	18	-19	-3	8	-1	-3	84.1
81	8	39	49	8	-6	-5	-12	-11	85.36
82	5	14	9	-20	-9	-5	-8	-8	85.36
83	41	82	6	4	-4	-7	-5	9	89.33
84	96	127	44	14	3	-7	2	5	88.31
85	35	126	-6	-18	-4	1	-3	-7	88.31
86	-79	-99	-27	-14	-13	-2	-9	-18	87.72
87	-55	-62	34	0	1	2	0	-4	88.45
